Membership No  Date Joined  Active  
    40858      2019-11-22   no    
    75604      2015-10-6    no    
    52069      2017-6-13    no    
    27727      2018-11-16   no    
    44407      2018-8-6     no    
    25216      2020-10-17   no    
    95602      2020-9-18    no    
    94997      2017-12-5    no    
    46225      2016-4-20    no    
    54945      2018-5-15    no    
    27695      2017-12-25   no    
    91161      2016-10-5    no    
    32797      2017-7-5     no    
    63168      2017-5-5     no    
    84437      2018-10-11   no    
    86272      2020-3-25    no    
